year,region,all,event,count,percentage
2009,global,5101,3x3x3 Blindfolded,692,13.565967457361303
2009,global,5101,3x3x3 Fewest Moves,358,7.018231719270732
2009,global,5101,3x3x3 One-Handed,1440,28.229758870809647
2009,global,5101,4x4x4 Blindfolded,78,1.5291119388355225
2009,global,5101,4x4x4 Cube,1629,31.934914722603413
2009,global,5101,5x5x5 Blindfolded,28,0.5489119780435209
2009,global,5101,5x5x5 Cube,1084,21.25073514997059
2009,global,5101,Clock,247,4.842187806312488
2009,global,5101,Magic,1168,22.897471084101156
2009,global,5101,Master Magic,313,6.13605175455793
2009,global,5101,Megaminx,493,9.664771613409135
2009,global,5101,Pyraminx,899,17.62399529504019
2009,global,5101,Square-1,471,9.233483630660654
2009,global,5101,2x2x2 Cube,2056,40.3058223877671
2009,global,5101,3x3x3 With Feet,86,1.685943932562243
2009,global,5101,6x6x6 Cube,287,5.626347774946089
2009,global,5101,7x7x7 Cube,317,6.21446775142129
2009,global,5101,Skewb,0,0
2009,malaysia,151,3x3x3 Cube,145,96.02649006622516
2009,malaysia,151,3x3x3 Blindfolded,12,7.9470198675496695
2009,malaysia,151,3x3x3 Fewest Moves,1,0.6622516556291391
2009,malaysia,151,3x3x3 One-Handed,27,17.880794701986755
2009,malaysia,151,4x4x4 Blindfolded,1,0.6622516556291391
2009,malaysia,151,4x4x4 Cube,30,19.867549668874172
2009,malaysia,151,5x5x5 Blindfolded,0,0
2009,malaysia,151,5x5x5 Cube,22,14.56953642384106
2009,malaysia,151,Clock,0,0
2009,malaysia,151,Magic,25,16.55629139072848
2009,malaysia,151,Master Magic,0,0
2009,malaysia,151,Megaminx,14,9.271523178807946
2009,malaysia,151,Pyraminx,26,17.218543046357617
2009,malaysia,151,Square-1,7,4.635761589403973
2009,malaysia,151,2x2x2 Cube,43,28.47682119205298
2009,malaysia,151,3x3x3 With Feet,0,0
2009,malaysia,151,6x6x6 Cube,0,0
2009,malaysia,151,7x7x7 Cube,0,0
2009,malaysia,151,Skewb,0,0
2010,global,6290,3x3x3 Cube,6013,95.59618441971384
2010,global,6290,3x3x3 Blindfolded,982,15.612082670906199
2010,global,6290,3x3x3 Fewest Moves,613,9.745627980922098
2010,global,6290,3x3x3 One-Handed,2233,35.50079491255962
2010,global,6290,4x4x4 Blindfolded,128,2.0349761526232113
2010,global,6290,4x4x4 Cube,2262,35.96184419713831
2010,global,6290,5x5x5 Blindfolded,55,0.8744038155802861
2010,global,6290,5x5x5 Cube,1367,21.732909379968206
2010,global,6290,Clock,403,6.406995230524642
2010,global,6290,Magic,1728,27.472178060413356
2010,global,6290,Master Magic,649,10.317965023847377
2010,global,6290,Megaminx,720,11.446740858505565
2010,global,6290,Pyraminx,1453,23.100158982511925
2010,global,6290,Square-1,617,9.809220985691573
2010,global,6290,2x2x2 Cube,3270,51.987281399046104
2010,global,6290,3x3x3 With Feet,168,2.670906200317965
2010,global,6290,6x6x6 Cube,414,6.5818759936407
2010,global,6290,7x7x7 Cube,419,6.661367249602544
2010,global,6290,Skewb,0,0
2010,malaysia,171,3x3x3 Cube,157,91.81286549707602
2010,malaysia,171,3x3x3 Blindfolded,19,11.11111111111111
2010,malaysia,171,3x3x3 Fewest Moves,3,1.7543859649122806
2010,malaysia,171,3x3x3 One-Handed,47,27.485380116959064
2010,malaysia,171,4x4x4 Blindfolded,3,1.7543859649122806
2010,malaysia,171,4x4x4 Cube,49,28.654970760233915
2010,malaysia,171,5x5x5 Blindfolded,1,0.5847953216374269
2010,malaysia,171,5x5x5 Cube,29,16.95906432748538
2010,malaysia,171,Clock,4,2.3391812865497075
2010,malaysia,171,Magic,63,36.84210526315789
2010,malaysia,171,Master Magic,14,8.187134502923977
2010,malaysia,171,Megaminx,27,15.789473684210526
2010,malaysia,171,Pyraminx,47,27.485380116959064
2010,malaysia,171,Square-1,17,9.941520467836257
2010,malaysia,171,2x2x2 Cube,79,46.198830409356724
2010,malaysia,171,3x3x3 With Feet,0,0
2010,malaysia,171,6x6x6 Cube,9,5.263157894736842
2010,malaysia,171,7x7x7 Cube,8,4.678362573099415
2010,malaysia,171,Skewb,0,0
2011,global,7312,3x3x3 Cube,7015,95.93818380743983
2011,global,7312,3x3x3 Blindfolded,1215,16.61652078774617
2011,global,7312,3x3x3 Fewest Moves,770,10.530634573304159
2011,global,7312,3x3x3 One-Handed,2822,38.594091903719914
2011,global,7312,4x4x4 Blindfolded,182,2.4890590809628006
2011,global,7312,4x4x4 Cube,2922,39.961706783369806
2011,global,7312,5x5x5 Blindfolded,96,1.312910284463895
2011,global,7312,5x5x5 Cube,1703,23.29048140043764
2011,global,7312,Clock,630,8.615973741794312
2011,global,7312,Magic,2068,28.282275711159738
