eventId,eventName,countryName,count,rankType
333bf,3x3x3 Blindfolded,Brazil,1,Average
333bf,3x3x3 Blindfolded,Brazil,1,Single
333bf,3x3x3 Blindfolded,Canada,4,Average
333bf,3x3x3 Blindfolded,Canada,4,Single
333bf,3x3x3 Blindfolded,China,8,Average
333bf,3x3x3 Blindfolded,China,8,Single
333bf,3x3x3 Blindfolded,Chinese Taipei,1,Average
333bf,3x3x3 Blindfolded,Chinese Taipei,1,Single
333bf,3x3x3 Blindfolded,Colombia,1,Average
333bf,3x3x3 Blindfolded,Colombia,1,Single
333bf,3x3x3 Blindfolded,Croatia,1,Average
333bf,3x3x3 Blindfolded,Croatia,1,Single
333bf,3x3x3 Blindfolded,Denmark,1,Average
333bf,3x3x3 Blindfolded,Denmark,1,Single
333bf,3x3x3 Blindfolded,France,5,Average
333bf,3x3x3 Blindfolded,France,5,Single
333bf,3x3x3 Blindfolded,Germany,3,Average
333bf,3x3x3 Blindfolded,Germany,2,Single
333bf,3x3x3 Blindfolded,Guatemala,1,Single
333bf,3x3x3 Blindfolded,"Hong Kong, China",1,Average
333bf,3x3x3 Blindfolded,"Hong Kong, China",1,Single
333bf,3x3x3 Blindfolded,Hungary,2,Average
333bf,3x3x3 Blindfolded,Hungary,1,Single
333bf,3x3x3 Blindfolded,India,2,Average
333bf,3x3x3 Blindfolded,India,1,Single
333bf,3x3x3 Blindfolded,Indonesia,1,Average
333bf,3x3x3 Blindfolded,Indonesia,2,Single
333bf,3x3x3 Blindfolded,Israel,1,Average
333bf,3x3x3 Blindfolded,Israel,1,Single
333bf,3x3x3 Blindfolded,Italy,2,Average
333bf,3x3x3 Blindfolded,Italy,1,Single
333bf,3x3x3 Blindfolded,Japan,3,Average
333bf,3x3x3 Blindfolded,Japan,2,Single
333bf,3x3x3 Blindfolded,Jordan,1,Single
333bf,3x3x3 Blindfolded,Malaysia,1,Single
333bf,3x3x3 Blindfolded,Netherlands,1,Average
333bf,3x3x3 Blindfolded,Netherlands,1,Single
333bf,3x3x3 Blindfolded,New Zealand,1,Average
333bf,3x3x3 Blindfolded,New Zealand,1,Single
333bf,3x3x3 Blindfolded,Peru,1,Average
333bf,3x3x3 Blindfolded,Peru,2,Single
333bf,3x3x3 Blindfolded,Philippines,2,Average
333bf,3x3x3 Blindfolded,Philippines,3,Single
333bf,3x3x3 Blindfolded,Poland,9,Average
333bf,3x3x3 Blindfolded,Poland,8,Single
333bf,3x3x3 Blindfolded,Republic of Korea,2,Average
333bf,3x3x3 Blindfolded,Republic of Korea,1,Single
333bf,3x3x3 Blindfolded,Russia,1,Average
333bf,3x3x3 Blindfolded,Russia,1,Single
333bf,3x3x3 Blindfolded,Singapore,1,Average
333bf,3x3x3 Blindfolded,Singapore,1,Single
333bf,3x3x3 Blindfolded,Spain,1,Average
333bf,3x3x3 Blindfolded,Spain,1,Single
333bf,3x3x3 Blindfolded,Sweden,3,Average
333bf,3x3x3 Blindfolded,Sweden,3,Single
333bf,3x3x3 Blindfolded,Switzerland,1,Average
333bf,3x3x3 Blindfolded,Switzerland,1,Single
333bf,3x3x3 Blindfolded,Turkey,1,Single
333bf,3x3x3 Blindfolded,United Kingdom,5,Average
333bf,3x3x3 Blindfolded,United Kingdom,4,Single
333bf,3x3x3 Blindfolded,United States,22,Average
333bf,3x3x3 Blindfolded,United States,24,Single
333bf,3x3x3 Blindfolded,Vietnam,1,Average
333fm,3x3x3 Fewest Moves,Argentina,1,Average
333fm,3x3x3 Fewest Moves,Argentina,1,Single
333fm,3x3x3 Fewest Moves,Australia,7,Average
333fm,3x3x3 Fewest Moves,Australia,5,Single
333fm,3x3x3 Fewest Moves,Belarus,1,Single
333fm,3x3x3 Fewest Moves,Brazil,1,Average
333fm,3x3x3 Fewest Moves,Brazil,2,Single
333fm,3x3x3 Fewest Moves,Canada,1,Average
333fm,3x3x3 Fewest Moves,Canada,2,Single
333fm,3x3x3 Fewest Moves,China,11,Average
333fm,3x3x3 Fewest Moves,China,8,Single
333fm,3x3x3 Fewest Moves,Chinese Taipei,1,Average
333fm,3x3x3 Fewest Moves,Chinese Taipei,1,Single
333fm,3x3x3 Fewest Moves,Colombia,1,Single
333fm,3x3x3 Fewest Moves,Czech Republic,1,Average
333fm,3x3x3 Fewest Moves,Czech Republic,2,Single
333fm,3x3x3 Fewest Moves,Denmark,2,Average
333fm,3x3x3 Fewest Moves,Denmark,2,Single
333fm,3x3x3 Fewest Moves,Finland,1,Average
333fm,3x3x3 Fewest Moves,Finland,2,Single
333fm,3x3x3 Fewest Moves,France,5,Average
333fm,3x3x3 Fewest Moves,France,5,Single
333fm,3x3x3 Fewest Moves,Germany,9,Average
333fm,3x3x3 Fewest Moves,Germany,12,Single
333fm,3x3x3 Fewest Moves,Hungary,2,Average
333fm,3x3x3 Fewest Moves,Hungary,2,Single
333fm,3x3x3 Fewest Moves,India,1,Average
333fm,3x3x3 Fewest Moves,India,1,Single
333fm,3x3x3 Fewest Moves,Indonesia,2,Average
333fm,3x3x3 Fewest Moves,Indonesia,1,Single
333fm,3x3x3 Fewest Moves,Iran,1,Single
333fm,3x3x3 Fewest Moves,Israel,3,Average
333fm,3x3x3 Fewest Moves,Israel,3,Single
333fm,3x3x3 Fewest Moves,Italy,3,Average
333fm,3x3x3 Fewest Moves,Italy,4,Single
333fm,3x3x3 Fewest Moves,Japan,3,Average
333fm,3x3x3 Fewest Moves,Japan,3,Single
333fm,3x3x3 Fewest Moves,Malaysia,2,Average
333fm,3x3x3 Fewest Moves,Malaysia,2,Single
333fm,3x3x3 Fewest Moves,Netherlands,1,Single
333fm,3x3x3 Fewest Moves,New Zealand,1,Average
333fm,3x3x3 Fewest Moves,New Zealand,1,Single
333fm,3x3x3 Fewest Moves,Poland,9,Average
333fm,3x3x3 Fewest Moves,Poland,10,Single
333fm,3x3x3 Fewest Moves,Portugal,1,Average
333fm,3x3x3 Fewest Moves,Portugal,1,Single
333fm,3x3x3 Fewest Moves,Republic of Korea,2,Average
333fm,3x3x3 Fewest Moves,Republic of Korea,4,Single
333fm,3x3x3 Fewest Moves,Singapore,3,Average
333fm,3x3x3 Fewest Moves,Singapore,3,Single
333fm,3x3x3 Fewest Moves,Slovenia,1,Single
333fm,3x3x3 Fewest Moves,Spain,4,Average
333fm,3x3x3 Fewest Moves,Spain,5,Single
333fm,3x3x3 Fewest Moves,Sweden,1,Average
333fm,3x3x3 Fewest Moves,Sweden,1,Single
333fm,3x3x3 Fewest Moves,Switzerland,2,Average
333fm,3x3x3 Fewest Moves,Switzerland,2,Single
333fm,3x3x3 Fewest Moves,Ukraine,3,Average
333fm,3x3x3 Fewest Moves,Ukraine,5,Single
333fm,3x3x3 Fewest Moves,United Kingdom,5,Average
333fm,3x3x3 Fewest Moves,United Kingdom,7,Single
333fm,3x3x3 Fewest Moves,United States,29,Average
333fm,3x3x3 Fewest Moves,United States,39,Single
333fm,3x3x3 Fewest Moves,Vietnam,1,Average
333ft,3x3x3 With Feet,Australia,1,Average
333ft,3x3x3 With Feet,Australia,1,Single
333ft,3x3x3 With Feet,Brazil,7,Average
333ft,3x3x3 With Feet,Brazil,7,Single
333ft,3x3x3 With Feet,Canada,3,Average
333ft,3x3x3 With Feet,Canada,2,Single
333ft,3x3x3 With Feet,China,9,Average
333ft,3x3x3 With Feet,China,11,Single
333ft,3x3x3 With Feet,Chinese Taipei,1,Average
333ft,3x3x3 With Feet,Colombia,1,Average
333ft,3x3x3 With Feet,Czech Republic,1,Average
333ft,3x3x3 With Feet,Czech Republic,1,Single
333ft,3x3x3 With Feet,Denmark,3,Average
333ft,3x3x3 With Feet,Denmark,4,Single
333ft,3x3x3 With Feet,Finland,1,Average
333ft,3x3x3 With Feet,Finland,2,Single
333ft,3x3x3 With Feet,France,2,Average
333ft,3x3x3 With Feet,France,2,Single
333ft,3x3x3 With Feet,Germany,4,Average
333ft,3x3x3 With Feet,Germany,4,Single
333ft,3x3x3 With Feet,India,7,Average
333ft,3x3x3 With Feet,India,6,Single
333ft,3x3x3 With Feet,Indonesia,3,Average
333ft,3x3x3 With Feet,Indonesia,5,Single
333ft,3x3x3 With Feet,Israel,1,Average
333ft,3x3x3 With Feet,Israel,1,Single
333ft,3x3x3 With Feet,Japan,2,Average
333ft,3x3x3 With Feet,Japan,1,Single
333ft,3x3x3 With Feet,Malaysia,3,Average
333ft,3x3x3 With Feet,Malaysia,3,Single
333ft,3x3x3 With Feet,Mongolia,1,Average
333ft,3x3x3 With Feet,Mongolia,1,Single
333ft,3x3x3 With Feet,Norway,1,Average
333ft,3x3x3 With Feet,Norway,1,Single
333ft,3x3x3 With Feet,Philippines,3,Average
333ft,3x3x3 With Feet,Philippines,2,Single
333ft,3x3x3 With Feet,Poland,5,Average
333ft,3x3x3 With Feet,Poland,5,Single
333ft,3x3x3 With Feet,Republic of Korea,8,Average
333ft,3x3x3 With Feet,Republic of Korea,8,Single
333ft,3x3x3 With Feet,Russia,1,Average
333ft,3x3x3 With Feet,Russia,1,Single
333ft,3x3x3 With Feet,Slovakia,1,Average
333ft,3x3x3 With Feet,Spain,2,Average
333ft,3x3x3 With Feet,Spain,1,Single
333ft,3x3x3 With Feet,Sweden,1,Average
333ft,3x3x3 With Feet,Sweden,1,Single
333ft,3x3x3 With Feet,Switzerland,1,Average
333ft,3x3x3 With Feet,Switzerland,1,Single
333ft,3x3x3 With Feet,Ukraine,4,Average
333ft,3x3x3 With Feet,Ukraine,4,Single
333ft,3x3x3 With Feet,United Kingdom,3,Average
333ft,3x3x3 With Feet,United Kingdom,5,Single
333ft,3x3x3 With Feet,United States,24,Average
333ft,3x3x3 With Feet,United States,24,Single
333mbf,3x3x3 Multi-Blind,Argentina,2,Single
333mbf,3x3x3 Multi-Blind,Australia,5,Single
333mbf,3x3x3 Multi-Blind,Austria,2,Single
333mbf,3x3x3 Multi-Blind,Brazil,3,Single
333mbf,3x3x3 Multi-Blind,Canada,2,Single
333mbf,3x3x3 Multi-Blind,China,6,Single
333mbf,3x3x3 Multi-Blind,Colombia,1,Single
333mbf,3x3x3 Multi-Blind,Croatia,1,Single
333mbf,3x3x3 Multi-Blind,Denmark,1,Single
333mbf,3x3x3 Multi-Blind,Finland,1,Single
333mbf,3x3x3 Multi-Blind,France,2,Single
333mbf,3x3x3 Multi-Blind,Germany,3,Single
333mbf,3x3x3 Multi-Blind,Guatemala,1,Single
333mbf,3x3x3 Multi-Blind,"Hong Kong, China",1,Single
333mbf,3x3x3 Multi-Blind,Hungary,2,Single
333mbf,3x3x3 Multi-Blind,India,3,Single
333mbf,3x3x3 Multi-Blind,Indonesia,2,Single
333mbf,3x3x3 Multi-Blind,Italy,3,Single
333mbf,3x3x3 Multi-Blind,Japan,5,Single
333mbf,3x3x3 Multi-Blind,Jordan,1,Single
333mbf,3x3x3 Multi-Blind,Malaysia,1,Single
333mbf,3x3x3 Multi-Blind,Mexico,1,Single
333mbf,3x3x3 Multi-Blind,Netherlands,3,Single
333mbf,3x3x3 Multi-Blind,New Zealand,2,Single
333mbf,3x3x3 Multi-Blind,Peru,1,Single
333mbf,3x3x3 Multi-Blind,Philippines,1,Single
333mbf,3x3x3 Multi-Blind,Poland,12,Single
333mbf,3x3x3 Multi-Blind,Republic of Korea,1,Single
333mbf,3x3x3 Multi-Blind,Russia,2,Single
333mbf,3x3x3 Multi-Blind,South Africa,1,Single
333mbf,3x3x3 Multi-Blind,Spain,3,Single
333mbf,3x3x3 Multi-Blind,Sweden,2,Single
333mbf,3x3x3 Multi-Blind,Switzerland,1,Single
333mbf,3x3x3 Multi-Blind,Thailand,1,Single
333mbf,3x3x3 Multi-Blind,United Kingdom,6,Single
333mbf,3x3x3 Multi-Blind,United States,17,Single
333mbo,3x3x3 Multi-Blind Old Style,Belgium,2,Single
333mbo,3x3x3 Multi-Blind Old Style,Brazil,5,Single
333mbo,3x3x3 Multi-Blind Old Style,Canada,1,Single
333mbo,3x3x3 Multi-Blind Old Style,China,3,Single
333mbo,3x3x3 Multi-Blind Old Style,Chinese Taipei,2,Single
333mbo,3x3x3 Multi-Blind Old Style,Denmark,2,Single
333mbo,3x3x3 Multi-Blind Old Style,Finland,1,Single
333mbo,3x3x3 Multi-Blind Old Style,France,13,Single
333mbo,3x3x3 Multi-Blind Old Style,Germany,8,Single
333mbo,3x3x3 Multi-Blind Old Style,Hungary,15,Single
333mbo,3x3x3 Multi-Blind Old Style,India,4,Single
333mbo,3x3x3 Multi-Blind Old Style,Japan,2,Single
333mbo,3x3x3 Multi-Blind Old Style,Netherlands,6,Single
333mbo,3x3x3 Multi-Blind Old Style,Philippines,3,Single
333mbo,3x3x3 Multi-Blind Old Style,Poland,4,Single
333mbo,3x3x3 Multi-Blind Old Style,Republic of Korea,3,Single
333mbo,3x3x3 Multi-Blind Old Style,Romania,1,Single
333mbo,3x3x3 Multi-Blind Old Style,Slovakia,1,Single
333mbo,3x3x3 Multi-Blind Old Style,Spain,4,Single
333mbo,3x3x3 Multi-Blind Old Style,Sweden,4,Single
333mbo,3x3x3 Multi-Blind Old Style,Switzerland,1,Single
333mbo,3x3x3 Multi-Blind Old Style,United Kingdom,1,Single
333mbo,3x3x3 Multi-Blind Old Style,United States,15,Single
333oh,3x3x3 One-Handed,Argentina,2,Average
333oh,3x3x3 One-Handed,Argentina,1,Single
333oh,3x3x3 One-Handed,Australia,6,Average
333oh,3x3x3 One-Handed,Australia,4,Single
333oh,3x3x3 One-Handed,Brazil,2,Average
333oh,3x3x3 One-Handed,Brazil,2,Single
333oh,3x3x3 One-Handed,Canada,3,Average
333oh,3x3x3 One-Handed,Canada,3,Single
333oh,3x3x3 One-Handed,China,7,Average
333oh,3x3x3 One-Handed,China,7,Single
333oh,3x3x3 One-Handed,Chinese Taipei,2,Average
333oh,3x3x3 One-Handed,Chinese Taipei,1,Single
333oh,3x3x3 One-Handed,Denmark,1,Average
333oh,3x3x3 One-Handed,Finland,2,Average
333oh,3x3x3 One-Handed,France,5,Average
333oh,3x3x3 One-Handed,France,3,Single
333oh,3x3x3 One-Handed,Germany,3,Average
333oh,3x3x3 One-Handed,Germany,5,Single
333oh,3x3x3 One-Handed,Greece,1,Average
